Fecha,hora,L,V,GL,GV,TL,TV,CL,CV,AL,AV,RL,RV
05/05/2024,15:15,Celta,Villarreal,3,2,7,3,2,1,4,0,0,1
05/05/2024,17:30,Valencia,Alaves,0,1,1,4,5,7,1,3,0,0
05/05/2024,20:00,Sevilla,Granada,3,0,5,3,5,4,2,2,0,0
05/05/2024,20:00,Rayo,Almeria,0,1,10,2,9,2,3,2,0,0
10/05/2024,20:00,Alaves,Girona,2,2,8,5,5,3,3,2,0,0
11/05/2024,15:15,Villarreal,Sevilla,3,2,7,4,10,1,3,5,0,0
11/05/2024,17:30,Granada,Real Madrid,0,4,1,7,8,5,2,0,0,0
11/05/2024,20:00,Ath Bilbao,Osasuna,2,2,6,3,8,6,2,4,0,0
12/05/2024,13:00,Cadiz,Getafe,1,0,6,4,6,2,5,2,0,0
12/05/2024,15:15,Ath Madrid,Celta,1,0,8,2,4,7,1,1,0,0
12/05/2024,17:30,Valencia,Rayo,0,0,5,1,6,3,1,2,0,0
12/05/2024,20:00,Betis,Almeria,3,2,7,7,3,5,0,2,0,0
