Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
75,Barcia,es ESP,DF,Las Palmas,24,2000,33.5,1,20,9,45.0,0.60,0.27,0.05,0.11,0,0,Matches,34,34,3015,1,2,1,7,1,0.03,0.03,0.06,0.03,0.06,0,43,38,0,1,56,25,,,1,,,,,,,,,,,,,,,25/26
76,Daniel Barcia,es ESP,DF,Dep. La Coruña,22,2003,21.0,2,9,2,22.2,0.43,0.10,0.22,1.00,0,0,Matches,25,21,1889,1,3,2,8,0,0.10,0.05,0.14,0.10,0.14,0,26,3,0,0,27,23,,,0,,,,,,,,,,,,,,,25/26
77,Keidi Bare,al ALB,MF,Zaragoza,27,1997,19.4,0,8,1,12.5,0.41,0.05,0.00,0.00,0,0,Matches,25,21,1749,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0,27,34,0,11,26,21,,,0,,,,,,,,,,,,,,,25/26
78,Ismael Barea,es ESP,MF,Mirandés,20,2005,7.1,1,2,1,50.0,0.28,0.14,0.50,1.00,0,0,Matches,11,8,642,0,1,1,3,0,0.14,0.00,0.14,0.14,0.14,0,7,16,0,2,5,5,,,0,,,,,,,,,,,,,,,25/26
79,Hugo Barrachina,es ESP,DF,Zaragoza,18,2006,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,61,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,0,0,1,2,0,,,0,,,,,,,,,,,,,,,25/26
80,Barri,es ESP,MF,Castellón,29,1995,32.7,4,35,7,20.0,1.07,0.21,0.11,0.57,0,0,Matches,39,36,2941,3,7,4,9,0,0.12,0.09,0.21,0.12,0.21,0,66,22,1,8,32,46,,,0,,,,,,,,,,,,,,,25/26
81,Matia Barzic,hr CRO,DF,Cultural Leonesa,21,2004,31.6,2,15,5,33.3,0.47,0.16,0.13,0.40,0,0,Matches,34,32,2847,0,2,2,15,1,0.06,0.00,0.06,0.06,0.06,1,38,20,1,7,26,20,,,1,,,,,,,,,,,,,,,25/26
82,Aboubacar Bassinga,bf BFA,"FW,MF",Ceuta,20,2005,9.3,2,12,5,41.7,1.29,0.54,0.17,0.40,0,0,Matches,26,7,836,1,3,2,4,0,0.22,0.11,0.32,0.22,0.32,0,25,10,1,5,9,7,,,0,,,,,,,,,,,,,,,25/26
83,Jon Bautista,es ESP,FW,Eibar,30,1995,23.5,6,75,25,33.3,3.19,1.06,0.08,0.24,0,1,Matches,37,21,2114,1,7,6,2,0,0.26,0.04,0.30,0.26,0.30,0,48,19,19,13,5,13,,,0,,,,,,,,,,,,,,,25/26
84,Rafael Bauza,es ESP,MF,Mirandés,20,2005,36.2,4,61,21,34.4,1.69,0.58,0.07,0.19,0,0,Matches,38,38,3254,3,7,4,12,0,0.11,0.08,0.19,0.11,0.19,0,82,44,0,76,28,32,,,0,,,,,,,,,,,,,,,25/26
85,Samed Baždar,ba BIH,FW,Zaragoza,21,2004,2.5,1,5,3,60.0,1.98,1.19,0.20,0.33,0,0,Matches,8,2,227,0,1,1,1,0,0.40,0.00,0.40,0.40,0.40,0,6,4,0,2,0,3,,,0,,,,,,,,,,,,,,,25/26
86,Luken Beitia,es ESP,DF,Real Sociedad B,21,2004,25.9,1,10,2,20.0,0.39,0.08,0.10,0.50,0,0,Matches,27,26,2327,1,2,1,3,0,0.04,0.04,0.08,0.04,0.08,0,22,6,2,1,26,30,,,0,,,,,,,,,,,,,,,25/26
87,Liberto Beltrán,es ESP,"MF,DF",Huesca,28,1996,12.1,2,34,9,26.5,2.80,0.74,0.06,0.22,0,0,Matches,26,9,1092,0,2,2,3,0,0.16,0.00,0.16,0.16,0.16,0,16,27,4,41,10,9,,,0,,,,,,,,,,,,,,,25/26
88,Nicolás Benedetti,co COL,"FW,MF",Las Palmas,28,1997,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,5,0,73,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,1,6,1,5,0,3,,,0,,,,,,,,,,,,,,,25/26
89,Daniel Bernabéu,,DF,Albacete,,,3.6,0,5,0,0.0,1.40,0.00,0.00,,0,0,Matches,8,4,322,1,1,0,1,0,0.00,0.28,0.28,0.00,0.28,0,10,5,0,8,6,4,,,0,,,,,,,,,,,,,,,25/26
