Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
174,Víctor Díaz,es ESP,"DF,MF",Granada,34,1988,22.7,6,0,0,13,5,0,2,31,29,,,0,Matches
175,Famara Diedhiou,sn SEN,FW,Granada,29,1992,1.8,1,0,0,5,4,0,0,1,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Adrián Diéguez,es ESP,"DF,MF",Ponferradina,26,1996,22.5,9,1,0,39,20,0,7,28,30,,,0,Matches
177,Papakouli Diop,sn SEN,MF,Ibiza,36,1986,16.8,6,1,0,38,33,0,17,19,17,,,0,Matches
178,Mohammed Djetei,cm CMR,DF,Albacete,27,1994,25.6,3,1,0,26,18,1,0,26,17,,,0,Matches
179,Álex Domínguez,es ESP,GK,Las Palmas,24,1998,8.0,1,0,0,0,1,0,0,0,0,,,0,Matches
180,Rubén Duarte,es ESP,DF,Alavés,26,1995,33.1,16,1,1,54,51,3,129,50,30,,,0,Matches
181,Jonathan Dubasin,be BEL,"FW,MF",Albacete,22,2000,29.0,6,0,0,52,54,16,34,9,12,,,0,Matches
182,Juan Durán,es ESP,MF,Mirandés,21,2001,0.9,1,0,0,3,2,0,3,1,4,,,0,Matches
183,Riza Durmisi,dk DEN,DF,Tenerife,28,1994,0.1,0,0,0,0,0,0,2,0,0,,,0,Matches
184,Riza Durmisi,dk DEN,"DF,MF",Leganés,28,1994,6.1,3,0,0,6,4,1,20,4,8,,,0,Matches
185,Unai Elgezabal,es ESP,"MF,DF",Burgos,29,1993,37.0,12,0,0,29,27,2,2,33,29,,,0,Matches
186,Juergen Elitim,co COL,MF,Racing Sant,23,1999,21.8,8,1,0,35,44,3,62,23,25,,,0,Matches
187,Sergi Enrich,es ESP,FW,Oviedo,32,1990,20.8,3,2,1,37,27,12,16,3,11,,,0,Matches
188,Ramón Enríquez,es ESP,MF,Málaga,21,2001,10.5,3,0,0,17,12,0,13,9,12,,,0,Matches
189,Aarón Escandell,es ESP,GK,Cartagena,26,1995,35.5,3,0,0,0,7,0,0,1,0,,,0,Matches
190,Alberto Escassi,es ESP,"DF,MF",Málaga,33,1989,28.0,9,0,0,40,26,1,2,37,32,,,0,Matches
191,Gonzalo Escobar,ar ARG,DF,Ibiza,25,1997,16.9,7,1,1,24,15,1,65,32,25,,,0,Matches
192,Dani Escriche,es ESP,"FW,MF",Huesca,24,1998,10.8,2,0,0,16,29,4,5,4,7,,,0,Matches
193,Dani Escriche,es ESP,FW,Albacete,24,1998,6.1,1,0,0,17,16,4,3,1,2,,,0,Matches
194,Eduardo Espiau,es ESP,FW,Ponferradina,27,1994,27.0,7,0,0,46,42,8,15,11,9,,,0,Matches
195,Euse,es ESP,DF,Huesca,21,2000,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
196,Jokin Ezkieta,es ESP,GK,Racing Sant,25,1996,5.7,0,0,0,0,0,0,0,0,0,,,0,Matches
197,Mamadou Fall,sn SEN,DF,Villarreal B,19,2002,22.6,8,1,1,16,8,1,4,33,21,,,0,Matches
198,Aleix Febas,es ESP,MF,Málaga,26,1996,35.7,7,0,0,38,127,2,34,20,55,,,0,Matches
199,Joan Femenías,es ESP,GK,Levante,25,1996,8.0,0,0,0,0,0,0,0,0,0,,,0,Matches
200,Jesús Fernández Alonso,es ESP,DF,Lugo,22,2000,6.3,0,0,0,10,1,0,0,6,4,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
