Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
103,Unai Bustinza,es ESP,"DF,MF",Leganés,29,1992,12,8,610,6.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
104,Nahuel Bustos,ar ARG,FW,Girona,23,1998,38,15,1415,15.7,11,2,13,11,0,0,5,0,0.70,0.13,0.83,0.70,0.83,Matches
105,Raul Caballero,es ESP,FW,Almería,20,2001,3,0,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Jordi Calavera,es ESP,"DF,MF",Girona,25,1995,10,4,414,4.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
107,Jordi Calavera,es ESP,DF,Sporting Gijón,25,1995,7,3,236,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Iván Calero,es ESP,"DF,MF",Alcorcón,26,1995,16,15,1282,14.2,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
109,Iván Calero,es ESP,DF,Málaga,26,1995,2,1,97,1.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
110,Dani Calvo,es ESP,DF,Oviedo,27,1994,41,39,3523,39.1,1,0,1,1,0,0,8,0,0.03,0.00,0.03,0.03,0.03,Matches
111,José Javier Belman Calvo,es ESP,GK,CF Fuenlabrada,22,1998,5,5,449,5.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
112,Dawda Camara,mr MTN,FW,Girona,18,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
